number_team,nickname
1160,Titanium Robotics
1164,Project NEO
1165,Team Paradise
1168,Malvern Robotics
1178,DURT  (De Smet Ultimate Robotics Team)
1188,Ravens
1189,Gearheads
1197,TorBots
1208,Metool Brigade
1209,Robo Hornets
1212,Sentinels
1218,SCH Robotics
1225,The Gorillas
1241,THEORY6
1246,Agincourt Skunkworks
1247,"Blood, Sweat, and Gears"
1250,Gator-Bots
1255,Blarglefish
1257,Parallel Universe
1259,Paradigm Shift
1261,Robo Lions
1262,the STAGS
1266,The Devil Duckies
1277,The Robotomies
1279,Cold Fusion
1280,Ragin' C-Biscuits
1285,The Biggest Birds
1287,Aluminum Assault
1288,RAVEN Robotics
1293,Pandamaniacs
1294,Pack of Parts
1296,Full Metal Jackets
1303,WYOHAZARD
1305,Ice Cubed
1306,BadgerBOTS
1307,Robosaints
1308,Saint Ignatius High School Robotics Team
1310,Runnymede Robotics
1317,Digital Fusion
1318,Issaquah Robotics Society
1319,Flash
1322,GRAYT Leviathons (Genesee Robotics Area Youth Team)
1323,MadTown Robotics
1325,Inverse Paradox
1329,ViPrs
1334,Red Devils
1339,AngelBotics
1350,The Rambots
1351,TKO
1359,Scalawags
1360,Orbit Robotics
1369,Minotaur
1388,Eagle Robotics
1389,The Body Electric
1391,The Metal Moose
1403,Team 1403 Cougar Robotics
1405,Finney Falcons
1410,The Kraken
1414,IHOT
1418,Vae Victis
1421,Team CHAOS
1422,The Neon Knights
1425,Error Code Xero
1446,Robo Knights
1450,XQ Robotix
1452,Omnicats
1458,Red Tie Robotics
1466,Webb Robotics
1468,Hicksville J-Birds
1474,Titans
1477,Texas Torque
1481,The Riveters
1493,Falcons
1501,Team THRUST
1502,Technical Difficulties
1504,Desperate Penguins
1506,Metal Muscle
1507,Warlocks
1511,Rolling Thunder
1512,The Big Red
1515,MorTorq
1518,Raider Robotics
1522,DOTM - Defenders of the Multiverse
1523,MARS (Mega Awesome Robotic Systems)
1528,MTR (Monroe Trojan Robotics)
1533,Triple Strange
1538,The Holy Cows
1539,Clover Eagle Robotics
1540,Flaming Chickens
1546,"Chaos, Inc."
1554,Oceanside Kraken
1555,CryoFrost
1557,12 Volt Bolt
1559,Devil Tech
1561,Roboducks
1566,AMMOKNIGHTS
1569,Haywire Robotics
1572,The Hammer Heads
1574,MisCar
1576,Voltrix
1577,Steampunk
1580,The Blue Monkeys
1585,Scitobor Robotics
1591,Greece Gladiators
1592,Bionic Tigers
1595,The Dragons
1596,The Instigators
1599,CircuiTree
1601,Quantum Samurai
1610,⛴ Blackwater Robotics ⛴
1619,Up-A-Creek Robotics
1622,Team Spyder
1625,Winnovation
1626,Falcon Robotics
1629,Garrett Coalition (GaCo)
1640,Sab-BOT-age
1646,Precision Guessworks
1647,Iron Devils
1648,G3 Robotics
1657,Hamosad
1661,Griffitrons
1662,Raptor Force Engineering
1671,Buchanan Bird Brains
1672,Robo T-Birds
1675,UPS (Ultimate Protection Squad)
1676,The Pascack PI-oneers
1678,Citrus Circuits
1683,Techno Titans
1684,The Chimeras
1690,Orbit
1699,Robocats
1700,Gatorbotics
1701,RoboCubs
1706,Ratchet Rockers
1708,AMP'D Robotics
1710,The Ravonics Revolution
1711,RAPTORS
1712,Dawgma
1714,MORE Robotics
1716,Redbird Robotics
1718,The Fighting Pi
1719,The Umbrella Corporation
1720,PhyXTGears
1721,Tidal Force
1723,The FBI - FIRST Bots of Independence
1726,N.E.R.D.S. (Nifty Engineering Robotics Design Squad)
1727,REX
1729,Team Inconceivable!
1730,Team Driven
1731,Fresta Valley Robotics Club
1732,Hilltopper Robotics
1735,Green Reapers
1736,Robot Casserole
1739,Chicago Knights Robotics
1740,Cyber Colonels
1741,Red Alert
1744,Robo-Rays Robotics
1745,The P-51 Mustangs
1746,OTTO
1747,Harrison Boiler Robotics
1756,Argos
1757,Wolverines
1758,Technomancers
1759,Potatoes
1761,STEAMpunk Tigers
1763,Paséliens
1764,Liberty Robotics
1768,Nashoba Robotics
1769,Digital Hawks
1771,North Gwinnett Robotics
1772,The Brazilian Trail Blazers
1775,Tigerbytes
1778,Chill Out
1781,Lindblom Electric Eagles
1785,Blue Springs Robocats
1787,The Flying Circuits
1792,Round Table Robotics
1793,The Aviators
1795,Team Clutch
1796,RoboTigers
1797,Phoenix
1799,Wired-Up!
1802,Team Stealth
1803,Vikings
1806,S.W.A.T.
1807,Redbird Robotics
1810,CATATRONICS
1811,FRESH
1816,"The Green Machine"
1818,Team Talos
1819,The Quacken
1822,Electric Calamari
1825,The Cyborgs
1827,THE HIVE
1828,BoxerBots
1831,Screaming Eagles
1836,The MilkenKnights
1847,W.R.A.T.H
1860,Alphabots
1868,Space Cookies
1880,Warriors of East Harlem
1884,Griffins
1885,Comet Robotics
1891,Bullbots
1895,Lambda Corps
1899,Saints Robotics
1902,Exploding Bacon
1908,ShoreBots
1912,Team Combustion
1915,MTHS Firebird Robotics
1918,NC GEARS
1922,Oz-Ram
1923,The MidKnight Inventors
1927,Tempest
1937,Elysium
1939,THE KUHNIGITS
1940,Tech Tigers 1940
1942,Cinderella Tel-Nof
1943,Neat Team
1954,ElectroBunny
1965,Firebirds
1967,The Janksters
1972,Searing Engineering
1977,The PowerSquids
1982,Cougar Robotics
1983,Skunk Works Robotics
1986,Team Titanium
1987,Broncobots
1991,Dragons
1994,Quixote
1997,STAGROBOTICS
2001,HERMES
2010,The Lightning Bots
2013,Cybergnomes
2016,Mighty Monkey Wrenches
2022,Titan Robotics
2027,Robotic Dragons
2028,Phantom Robotics
2035,Rockin' Bots
2036,The Black Knights
2039,Rockford Robotics
2040,DERT - Dunlap Eagles Robotics Team
2046,Bear Metal
2048,The Pink Panthers
2052,KnightKrawler
2053,Southern Tier Robotics
2054,Tech Vikes
2056,OP Robotics
2059,The Hitchhikers
2062,CORE 2062
2064,The Panther Project
2067,Apple Pi
2068,Metal Jackets
2073,EagleForce
2075,Enigma Robotics
2077,Laser Robotics
2079,4H ALARM Robotics
2080,Torbotics
2083,Team Blitz
2084,Robots by the C
2090,Buff 'n Blue
2095,Direct Current
2096,RoboActive
2102,Team Paradox
2106,The Junkyard Dogs
2122,Team Tators
2129,Ultraviolet
2130,Alpha+
2135,Presentation Invasion
2137,The Oxford RoboCats
2141,Spartonics
2143,Team Tobor
2145,HAZMATS
2147,CHUCK
2151,Monty Pythons
2152,S*M*A*S*H
2158,the ausTIN CANs
2161,Robocats 9th Street Automotive, County Line Hardware, Sign-a-rama
2165,BisonBots
2168,Aluminum Falcons
2169,KING TeC
2170,Galvanized Guardians
2171,RoboDogs
2172,Steel Unit-E
2175,The Fighting Calculators
2177,The Robettes
2180,Zero Gravity
2181,GEARS
2183,Tigerbots
2186,Dogs of Steel
2190,Team Hero
2191,Flux Core
2194,Fondy Fire
2197,Las Pumas
2198,Paradigm Shift Robotics
2199,Robo-Lions
2200,MMRambotics
2202,BEAST Robotics
2204,Rambots
2207,Bright Bears
2212,The Spikes
2220,Blue Twilight
2221,FHS Robodawgs
2224,RoboPhoenix
2225,Rebel Robotics
2227,Tigers
2228,CougarTech
2230,General Angels
2231,OnyxTronix
2234,Alternating Current
2239,Technocrats
2240,Brute Force
2246,The Army of Sum
2252,The Mavericks
2259,1/4 Twenties
2261,Casa Robotics
2262,Robo-Panthers
2264,Trojan Robotics
2265,Fe Maidens
2283,Panteras
2288,Hydra Robotics
2333,S.C.R.E.E.C.H.
2337,EngiNERDs
2338,Gear It Forward
2340,Xcentrics -Mercy Robotics
2341,Sprockets
2342,Team Phoenix
2344,The Saunders Droid Factory
2345,Kearnage
2347,Trial and Error
2348,Mechahunes
2352,Metal Mayhem
2357,System Meltdown
2358,Bearbotics
2359,RoboLobos
2363,Triple Helix Robotics
2367,Lancer Robotics
2370,IBOTS
2373,The Crickets
2374,Jesuit Robotics
2375,Dragon Robotics
2377,C Company
2383,Ninjineers
2386,Trojans
2393,Robotichauns
2395,OKC 4-H Robotics - Ninja Munkees
2399,The Fighting Unicorns
2403,Plasma Robotics
2404,Team NEY Techs (TNT)
2405,Techno Trojans
2408,Shrapnel Sergeants
2410,Blue Valley CAPS Metal Mustang Robotics
2412,Robototes
2415,WiredCats
2421,RTR Team Robotics
2423,The KwarQs
2429,La Cañada Engineering Club
2438,'Iobotics
2441,Spartechs
2443,Blue Thunder
2445,RoboKAP
2450,Wind Chill
2457,The Law
2458,Team Chaos
2465,KauaiBots
2468,Team Appreciate
2470,Team BJORG
2471,Team Mean Machine
2472,Centurions
2473,Goldstrikers
2477,Marauder Rascals
2478,Westwood Robotics
2481,Roboteers
2485,W.A.R. Lords
2486,CocoNuts
2487,Mechanical Animals
2489,The Insomniacs
2491,NoMythic
2495,Hive Mind
2498,BearBotics
2500,Herobotics
2501,Bionic Polars
2502,Talon Robotics
2503,Warrior Robotics
2506,Saber Robotics
2508,Armada
2509,Tigerbots
2511,Cougars
2512,Duluth East Daredevils
2513,T.E.R.T.O.L.A.
2515,MR.E
2518,Spartan Robotics
2521,SERT
2522,Royal Robotics
2523,Tech Storm
2526,Crimson Robotics
2530,Inconceivable
2531,RoboHawks
2534,Lumberjack Robotics
2537,Space RAIDers
2538,The Plaid Pillagers
2539,Krypton Cougars
2543,TitanBot
2549,Millerbots
2550,Skynet
2551,Penguin Empire
2554,The Warhawks
2556,RadioActive Roaches
2557,SOTAbots
2559,Normality Zero
2560,RoboDog
2574,RoboHuskie
2577,Pingry Robotics
2582,PantherBots
2583,Orange Dynamite
2584,Flame of The West
2585,Impact
2586,Copper Bots
2587,DiscoBots
2590,Nemesis
2591,RedTails
2594,Naskcorpions
2601,Steel Hawks
2603,Steel Stingers
2604,Metal and Soul
2606,Irish Robotics
2607,The Fighting RoboVikings
2609,BeaverworX
2611,Jacktown Vectors
2613,Protobots
2614,Mountaineer Area RoboticS (MARS)
2619,The Charge
2620,Titans
2626,Evolution
2630,Thunderbolts
2634,The Gryphons
2635,Lake Monsters
2637,Phantom Catz
2638,Rebel Robotics
2640,HOTBOTZ
2641,Central Catholic Robotics
2642,Pitt Pirates
2643,Dark Matter
2647,Cyborg Mustangs
2648,Infinite Loop
2654,Polar Rams
2656,Quasics
2657,Team Thundercats
2658,Σ-Motion
2659,RoboWarriors
2662,RoboKrew
2667,Knights of the Valley
2673,Tenacious Technicians
2679,Atlantis
2687,Team Apprentice
2689,Team Alpha
2702,Rebels
2704,Roaring Robotics
2706,Merge Robotics
2708,Lake Effect Robotics
2710,JetStream
2712,Power Surge 4-H Robotics
2713,Red Hawk Robotics
2714,♨️ BBQ ♨️
2718,Team OKC e'possums (Σ 1/n! x 10^3)
2720,Red Watch Robotics
2722,Charge Robotics
2725,Ice Princesses
2733,Pigmice
2767,Stryke Force
2771,Code Red Robotics the Stray Dogs
2773,IronDogz
2783,Engineers of Tomorrow
2789,TEXPLOSION
2791,Shaker Robotics
2797,Knight & Nerdy
2811,StormBots
2813,Gear Heads
2815,Blue Devil Mechanics
2823,The Automatons
2826,Wave Robotics
2827,The Tiki Bots
2830,Riverside RoboTigers
2832,The Livonia Warriors
2834,Bionic Black Hawks
2839,Daedalus
2840,PCDS Blue Tide
2846,FireBears
2847,The MegaHertz
2848,Rangers
2849,Ursa Major
2851,Crevolution
2852,DM High Voltage
2853,Hot Spot Robotics
2854,The Prototypes
2855,BEASTBOT
2856,Planetary Drive
2861,Infinity's End
2867,ElkLogics
2869,Regal Eagles
2872,CyberCats
2875,CyberHawks
2876,DevilBotz
2877,LigerBots
2879,Oriole Robotics
2881,Lady Cans
2882,Nuts n' Boltz
2883,F.R.E.D (FIRST Robotics Engineering and Design)
2890,The Hawk Collective
2895,Blazenbots
2896,MechaMonarchs
2898,Flying Hedgehogs
2900,The Mighty Penguins
2903,NeoBots
2905,Sultans of Turkiye
2906,Sentinel Prime Robotics
2907,Lion Robotics
2909,Zebra Bots
2910,Jack in the Bot
2912,Panther Robotics
2914,TIGER PRIDE
2915,Pandamonium
2926,Robo Sparks
2927,NEST Robotics
2928,Viking Robotics
2929,Emeral Ridge JAGBOTS
2930,Sonic Squirrels
2935,NACI Robotics
2945,Steel Mustangs
2950,Devastators
2959,Robotarians
2960,Automation Nation
2963,AnaDroids
2969,Aftermath
2972,Gears and Buccaneers
2973,Mad Rockers
2974,Walton Robotics
2976,The Spartabots
2977,Sir Lancer Bots
2978,Cavaliers
2980,Whidbey Island Wildcats
2984,Vikings Robotics
2987,Rogue Robotics
2988,RoboRiot
2990,Hotwire
2992,The S.S. Prometheus
2996,Cougars Gone Wired
2998,VikingBots
3003,TAN(X)
3004,Bronx Knights
3005,RoboChargers
3006,Red Rock Robotics
3007,Robotitans
3008,Team Magma
3009,High Scalers
3015,Ranger Robotics
3017,Patriots
3018,Nordic Storm
3019,Firebirds
3020,SMbld
3023,STARK Industries
3024,My Favorite Team
3026,Orange Crush Robotics
3029,Mecha Titans
3035,Droid Rage
3038,ICE
3039,Wildcat Robotics
3042,Cobalt Catalysts
3044,Team 0xBE4
3045,Gear Gremlins
3049,BremerTron
3053,VB Stingers
3055,Furious George
3058,ANNDROIDS
3061,Huskie Robotics
3065,Jatt High School
3067,Robovikes
3070,Team Pronto 3070
3075,Ha-Dream Team
3082,Chicken Bot Pie
3083,Artemis
3090,Chaotic Robotics
3091,100 Scholars
3096,The Village Bulldogs
3098,Waterford Robotics
3100,Lightning Turtles
3102,Tech-No-Tigers
3110,SeaBots
3117,Harfangs
3122,The Alluminators
3128,The Aluminum Narwhals
3130,The ERRORs
3132,Thunder Down Under
3134,The Accelerators
3136,Official Robotics Constructors of Ashland
3137,T-Birds
3138,Innovators Robotics
3139,Oxford Omega
3140,Flagship
3142,Aperture
3146,GRANBY GRUNTS
3147,Munster Horsepower
3158,PrepaTec - TECBOT
3160,F. R. O. G. - FIRST Robotics Organization of Grove
3161,Tronic Titans
3163,ROARBOTS
3164,Stealth Tigers
3166,First Year Ravens
3171,HURRICANES
3172,HorsePOWER
3173,IgKnighters
3175,Knight Vision
3176,Purple Precision
3179,The A.N.T.
3181,Pittsford Panthers
3182,Athena's Warriors
3184,Blaze Robotics
3187,Arcadia Titan Robotics
3189,Circuit Breakers
3193,Falco Tech
3196,Team SPORK
3197,HexHounds
3200,Raptacon
3201,Ross Rambotics
3202,KnightBots
3204,Steampunk Penguins
3205,Patriots
3206,Royal T-Wrecks
3211,The Y Team
3212,YME Stingbots
3216,Missoula Robotics Team (MRT)
3218,Panther Robotics
3219,"TREAD (Trojan Robotics, Engineering, Art, & Design)"
3229,Hawktimus Prime
3234,Red Arrows
3242,ILLUMICATS
3243,Amperes
3245,Ravens
3247,Robopack
3255,SuperNURDs
3256,WarriorBorgs
3257,Vortechs
3260,SHARP
3267,Mariner Robotics
3268,Valhallabots
3275,The Regulators
3276,TOOLCATS
3277,ProDigi
3278,The Electric Lakers
3284,Camdenton  LASER 3284
3288,Punchers
3291,Au Pirates
3293,OtterBots
3294,Backwoods Engineers
3295,STEMdroids
3297,Full Metal Jackets
3298,ArrowBots
3300,Midwest WARRIORS
3302,TurboTrojans
3309,Friarbots
3310,Black Hawk Robotics
3313,Mechatronics
3314,Mechanical Mustangs
3316,D-Bug
3322,Eagle Evolution
3323,Potential Energy
3324,The Metrobots
3328,NohoRobo
3329,Wildbots
3336,Zimanators
3339,BumbleB
3340,Union City MagneGeeks
3341,Option 16
3344,Space Dragons
3349,Static
3352,3352 Flaming Monkeys 4-H Robotics Club
3354,PrepaTec-TecDroid
3357,COMETS
3359,Royal Robotics
3360,Hyperion
3361,Governators
3373,Team RoboHawk
3374,Jackson Hole RoboBroncs
3381,Droid Rage
3388,Flash in memory of Margarita Gusak
3390,ANATOLIAN EAGLEBOTS
3393,Horns of Havoc
3397,Robolions
3405,ALChemists
3407,Wild Cards
3408,cyberCubs
3414,Hackbots
3418,RoboRiot
3419,RoHawks
3451,The ANOMALY
3452,GreengineerZ
3454,Z Bots
3458,Code Blue
3459,Team PyroTech
3461,Operation PEACCE Robotics
3464,Sim-City
3465,The Omega Factor
3467,Windham Windup
3468,MAGNAtech
3472,PrepaTec - Buluk
3473,Team Sprocket
3476,Code Orange
3478,PrepaTec - LamBot
3480,PrepaTec - ABTOMAT
3481,Bronc Botz
3482,Arrowbotics
3484,Short Circuit
3487,Red Pride Robotics
3488,Eagle Army
3489,Category 5
3490,Viper Drive
3491,FUTURE Dinos
3492,Putnam Area Robotics Team (P.A.R.T.s)
3494,The Quadrangles
3501,Firebots
3504,Girls of Steel
3506,YETI Robotics
3507,Ubotics
3512,Spartatroniks
3515,Pneubotic Mustangs
3522,CBoT´S4
3526,PrepaTec - Blue Ignition
3527,PrepaTec - Balam Esmeralda
3532,Piranhas
3533,Mekano
3534,House of Cards
3536,Electro Eagles
3537,Delta Force 3537
3538,RoboJackets
3539,Byting Bulldogs
3543,C4 Robotics
3544,Spartiates
3546,Buc'n'Gears
3550,Robotronix
3559,Thundercats
3560,Chingbotics
3561,RoboRaiders
3566,Gone Fishin'
3568,RoboEagles
3572,Wavelength
3574,HIGH TEKERZ
3577,Saint's Robotics
3588,the Talon
3596,Rocket Robotics
3597,Robo-Rangers
3598,SEStematic Eliminators
3602,RoboMos
3603,Cyber Coyotes
3604,Goon Squad
3606,BearMetal
3610,Islanders
3616,Team Phenomena 3616
3618,Petoskey Paladins
3619,Blackhawks
3620,Average Joes
3623,The Robomingos
3624,ThunderColts
3627,The Jungle Robotics
3630,Stampede
3632,D-Techs
3634,Spark City
3635,Flying Legion
3636,Generals
3637,The Daleks
3641,The Flying Toasters
3646,INTEGRA BAHCESEHIR
3647,Millennium Falcons
3648,Sparta Robotica
3654,TechTigers
3655,Tractor Technicians
3656,Dexter Dreadbots
3658,Robo - Beavers
3660,LIGHTSABERS
3663,CPR - Cedar Park Robotics
3667,Mecanum Knights
3668,TroBots
3669,CarbonKnights
3673,C.Y.B.O.R.G. Seagulls
3674,CloverBots
3676,Redshift Robotics
3679,rattlers
3680,Elemental Dragons
3681,Robo-Raiders
3683,Team DAVE
3688,Norsemen
3691,RoboRaiders
3692,Rock N' Robotics
3695,Foximus Prime
3704,RoboSapiens
3707,TechnoDogs
3712,RoboCats
3719,STEM Whalers
3721,Charger Robotics
3723,TEKnights
3728,Momentum
3729,The Raiders
3734,StarBots
3735,VorTX
3737,Roto Raptors
3739,Oakbotics
3740,Storm Robotics
3743,Eagle Bots
3748,Ragnarok Robotics
3749,Team Optix
3751,Tower View Robotics
3753,BulahBots!
3755,Dragon Robotics
3756,RamFerno
3759,SMARTBOTS
3760,AeroBots
3767,TC Titans
3770,BlitzCreek
3773,Arrowhead Robotics
3777,Bean City Bots
3786,Chargers
3792,Army Ants
3793,CyberTitans
3794,Prepa Tecmilenio WinT
3799,Electric Fire
3802,✨RoboPOP✨
3807,Overland BlazerBots
3814,PiBotics
3815,NF Raiders
3821,Pirabots
3822,Neon Krakens
3824,HVA RoHAWKtics
3826,Sequim Robotics Federation "SRF"
3835,Vulcan
3838,Roc City Robotix
3843,ROBO RACERS
3847,Spectrum   -△◅
3848,Bots in Shining Armour
3853,Pridetronics
3859,Wolfpack Robotics
3863,Pantherbotics
3865,Riley WildBots
3871,Trojan Robotics #3871
3875,Red Storm Robotics
3876,Mabton LugNutz
3880,Tiki Techs
3881,WHEA Sharkbots
3882,Lunas
3883,Data Bits
3890,Breaking Away
3891,Rodeo Robotics
3925,Circuit of Life
3926,MPArors
3928,Team Neutrino
3931,Cockadoodle Dominators
3932,The Dirty Mechanics
3933,PrepaTec - Taman Keet
3936,RoboBlitz 3936
3937,Breakaway
3939,Botetourt 4-H Robotics
3940,CyberTooth
3944,All Knights
3947,The Last Crusaders
3950,RoboGym Robotics
3951,SUITS
3952,Troy Robotics
3954,4-H Electrotechs
3958,Schrodinger's Cat
3959,Mech Tech
3965,Sultans
3966,L&N STEMpunks
3970,Duncan Dynamics
3975,Les Dragons
3976,Electric Hornets
3984,Topper Robotics
3985,Sonic Howl
3986,Express-O
3990,Tech for Kids
3993,Humanoids
3996,RIKITIK
4003,TriSonics
4004,M.A.R.S. Rovers
4005,Hostile Gato Robotics
4008,Theodore Roosevelt's Disco Haircut
4009,Duluth DNA Robotics
4010,PrepaTec - Nautilus
4011,πρbοtics   (Pi Robotics)
4012,Bad News Bots
4013,Clockwork Mania
4014,Pixelators
4015,Jag
